Episode =    1, score= 55.084 (best= 55.084, step=37, avg_reward=  1.489, worst=  1.730,  z-Pos=11.353032794193092, z-Vel=3.110647413244855, z-target=10.0)
Episode =  167, score= 54.389 (best= 69.559, step=41, avg_reward=  1.327, worst=  0.521,  z-Pos=11.32893376569626, z-Vel=3.2707673159372943, z-target=10.0)
Episode =  168, score= 54.216 (best= 69.559, step=47, avg_reward=  1.154, worst=  0.521,  z-Pos=11.362937207349063, z-Vel=3.4851855325588734, z-target=10.0)
Episode =  169, score= 60.482 (best= 69.559, step=40, avg_reward=  1.512, worst=  0.521,  z-Pos=11.362551089476336, z-Vel=3.1657699355668183, z-target=10.0)
Episode =  170, score= 53.632 (best= 69.559, step=46, avg_reward=  1.166, worst=  0.521,  z-Pos=11.355831195580024, z-Vel=3.4741933644084937, z-target=10.0)
Episode =  171, score= 47.874 (best= 69.559, step=51, avg_reward=  0.939, worst=  0.430,  z-Pos=11.362145754896723, z-Vel=3.898349174505824, z-target=10.0)
Episode =  172, score= 55.164 (best= 69.559, step=45, avg_reward=  1.226, worst=  0.430,  z-Pos=11.345430620931916, z-Vel=3.37592662300822, z-target=10.0)
Episode =  173, score= 60.934 (best= 69.559, step=42, avg_reward=  1.451, worst=  0.430,  z-Pos=11.32212394868905, z-Vel=3.182902528720644, z-target=10.0)
Episode =  174, score= 56.216 (best= 69.559, step=38, avg_reward=  1.479, worst=  0.430,  z-Pos=11.372010270963852, z-Vel=3.0798292800200313, z-target=10.0)
Episode =  175, score= 51.215 (best= 69.559, step=46, avg_reward=  1.113, worst=  0.430,  z-Pos=11.369577960296054, z-Vel=3.5929535848624945, z-target=10.0)
Episode =  176, score= 56.940 (best= 69.559, step=38, avg_reward=  1.498, worst=  0.430,  z-Pos=11.36074595320458, z-Vel=3.1526715438649213, z-target=10.0)
Episode =  177, score= 56.801 (best= 69.559, step=45, avg_reward=  1.262, worst=  0.430,  z-Pos=11.37639734832275, z-Vel=3.360913547467726, z-target=10.0)
Episode =  178, score= 54.675 (best= 69.559, step=46, avg_reward=  1.189, worst=  0.430,  z-Pos=11.358374895543077, z-Vel=3.4358632968711222, z-target=10.0)
Episode =  179, score= 49.564 (best= 69.559, step=35, avg_reward=  1.416, worst=  0.430,  z-Pos=11.364138599206301, z-Vel=2.817074203574494, z-target=10.0)
Episode =  180, score= 53.050 (best= 69.559, step=39, avg_reward=  1.360, worst=  0.430,  z-Pos=11.316556406570262, z-Vel=3.2526601161469895, z-target=10.0)
Episode =  181, score= 58.602 (best= 69.559, step=44, avg_reward=  1.332, worst=  0.430,  z-Pos=11.32227616111575, z-Vel=3.230656922648609, z-target=10.0)
Episode =  182, score= 58.503 (best= 69.559, step=40, avg_reward=  1.463, worst=  0.430,  z-Pos=11.316255473231124, z-Vel=3.178551995664579, z-target=10.0)
Episode =  183, score= 49.241 (best= 69.559, step=47, avg_reward=  1.048, worst=  0.430,  z-Pos=11.352949530511307, z-Vel=3.73234350857704, z-target=10.0)
Episode =  184, score= 57.489 (best= 69.559, step=39, avg_reward=  1.474, worst=  0.430,  z-Pos=11.338899992880275, z-Vel=3.2081055520235213, z-target=10.0)
Episode =  185, score= 60.651 (best= 69.559, step=43, avg_reward=  1.410, worst=  0.430,  z-Pos=11.327566568495207, z-Vel=3.1949642847446085, z-target=10.0)
Episode =  186, score= 39.492 (best= 69.559, step=30, avg_reward=  1.316, worst=  0.430,  z-Pos=11.335250035321451, z-Vel=2.3532401886859438, z-target=10.0)
Episode =  187, score= 62.822 (best= 69.559, step=41, avg_reward=  1.532, worst=  0.430,  z-Pos=11.341908364929616, z-Vel=3.187749322870086, z-target=10.0)
Episode =  188, score= 58.723 (best= 69.559, step=40, avg_reward=  1.468, worst=  0.430,  z-Pos=11.359235915757926, z-Vel=2.9246749542000097, z-target=10.0)
Episode =  189, score= 56.169 (best= 69.559, step=44, avg_reward=  1.277, worst=  0.430,  z-Pos=11.367920001244329, z-Vel=3.3421041572467227, z-target=10.0)
Episode =  190, score= 47.851 (best= 69.559, step=34, avg_reward=  1.407, worst=  0.430,  z-Pos=11.368125774203614, z-Vel=2.817110691208265, z-target=10.0)
Episode =  191, score= 58.900 (best= 69.559, step=40, avg_reward=  1.472, worst=  0.430,  z-Pos=11.3644271059827, z-Vel=3.2315887915829373, z-target=10.0)
Episode =  192, score= 55.510 (best= 69.559, step=37, avg_reward=  1.500, worst=  0.430,  z-Pos=11.357393334538425, z-Vel=3.19165897481107, z-target=10.0)
Episode =  193, score= 53.479 (best= 69.559, step=46, avg_reward=  1.163, worst=  0.430,  z-Pos=11.371716683852442, z-Vel=3.4829741890986736, z-target=10.0)
Episode =  194, score= 59.578 (best= 69.559, step=40, avg_reward=  1.489, worst=  0.430,  z-Pos=11.366313119354812, z-Vel=3.0539330452651643, z-target=10.0)
Episode =  195, score= 64.467 (best= 69.559, step=42, avg_reward=  1.535, worst=  0.430,  z-Pos=11.323737726056837, z-Vel=3.121809542201006, z-target=10.0)
Episode =  196, score= 62.353 (best= 69.559, step=41, avg_reward=  1.521, worst=  0.430,  z-Pos=11.364813824305005, z-Vel=3.1888267145262046, z-target=10.0)
Episode =  197, score= 49.791 (best= 69.559, step=35, avg_reward=  1.423, worst=  0.430,  z-Pos=11.329066440253744, z-Vel=2.7411919233846564, z-target=10.0)
Episode =  198, score= 54.199 (best= 69.559, step=37, avg_reward=  1.465, worst=  0.430,  z-Pos=11.344553415821759, z-Vel=2.951225533898746, z-target=10.0)
Episode =  199, score= 57.299 (best= 69.559, step=38, avg_reward=  1.508, worst=  0.430,  z-Pos=11.348564586419013, z-Vel=3.170261985714644, z-target=10.0)
Episode =  200, score= 53.227 (best= 69.559, step=42, avg_reward=  1.267, worst=  0.430,  z-Pos=11.330130734228655, z-Vel=3.3594454854878664, z-target=10.0)
Episode =  201, score= 67.583 (best= 69.559, step=44, avg_reward=  1.536, worst=  0.430,  z-Pos=11.353251921181363, z-Vel=3.1546007137563445, z-target=10.0)
Episode =  202, score= 47.524 (best= 69.559, step=50, avg_reward=  0.950, worst=  0.430,  z-Pos=11.37355730543903, z-Vel=3.891629654865141, z-target=10.0)
Episode =  203, score= 63.978 (best= 69.559, step=42, avg_reward=  1.523, worst=  0.430,  z-Pos=11.330653042642291, z-Vel=3.077954070418085, z-target=10.0)
Episode =  204, score= 55.407 (best= 69.559, step=44, avg_reward=  1.259, worst=  0.430,  z-Pos=11.348196062467025, z-Vel=3.3261638442386525, z-target=10.0)
Episode =  205, score= 57.820 (best= 69.559, step=39, avg_reward=  1.483, worst=  0.430,  z-Pos=11.338545197299236, z-Vel=2.967010746195285, z-target=10.0)
Episode =  206, score= 49.125 (best= 69.559, step=35, avg_reward=  1.404, worst=  0.430,  z-Pos=11.357906843197672, z-Vel=2.7326836902881597, z-target=10.0)
Episode =  207, score= 55.114 (best= 69.559, step=45, avg_reward=  1.225, worst=  0.430,  z-Pos=11.350244952379763, z-Vel=3.3649633575096334, z-target=10.0)
Episode =  208, score= 58.336 (best= 69.559, step=39, avg_reward=  1.496, worst=  0.430,  z-Pos=11.33516250551451, z-Vel=3.0280428636469137, z-target=10.0)
Episode =  209, score= 56.349 (best= 69.559, step=38, avg_reward=  1.483, worst=  0.430,  z-Pos=11.32492744822527, z-Vel=2.958340833403729, z-target=10.0)
Episode =  210, score= 51.866 (best= 69.559, step=36, avg_reward=  1.441, worst=  0.430,  z-Pos=11.365603219415368, z-Vel=2.9190100663577208, z-target=10.0)
Episode =  211, score= 56.748 (best= 69.559, step=47, avg_reward=  1.207, worst=  0.430,  z-Pos=11.330804777652048, z-Vel=3.3467938042815097, z-target=10.0)
Episode =  212, score= 57.246 (best= 69.559, step=38, avg_reward=  1.506, worst=  0.430,  z-Pos=11.32256345411676, z-Vel=3.0827632783438714, z-target=10.0)
Episode =  213, score= 50.784 (best= 69.559, step=45, avg_reward=  1.129, worst=  0.430,  z-Pos=11.352372996256047, z-Vel=3.5677786638383386, z-target=10.0)
Episode =  214, score= 54.901 (best= 69.559, step=41, avg_reward=  1.339, worst=  0.430,  z-Pos=11.369147635259303, z-Vel=3.3111742215329585, z-target=10.0)
Episode =  215, score= 58.354 (best= 69.559, step=44, avg_reward=  1.326, worst=  0.430,  z-Pos=11.34221026404177, z-Vel=3.2492106125715745, z-target=10.0)
Episode =  216, score= 48.620 (best= 69.559, step=34, avg_reward=  1.430, worst=  0.430,  z-Pos=11.320545950325373, z-Vel=2.7857748990863773, z-target=10.0)
Episode =  217, score= 45.314 (best= 69.559, step=33, avg_reward=  1.373, worst=  0.430,  z-Pos=11.324984552963654, z-Vel=2.529288443121697, z-target=10.0)
Episode =  218, score= 52.417 (best= 69.559, step=41, avg_reward=  1.278, worst=  0.430,  z-Pos=11.337323511247044, z-Vel=3.3455845058430262, z-target=10.0)
Episode =  219, score= 54.363 (best= 69.559, step=46, avg_reward=  1.182, worst=  0.430,  z-Pos=11.384525245947374, z-Vel=3.482815351423693, z-target=10.0)
Episode =  220, score= 51.394 (best= 69.559, step=51, avg_reward=  1.008, worst=  0.430,  z-Pos=11.346937146978043, z-Vel=3.7313787089947965, z-target=10.0)
Episode =  221, score= 66.237 (best= 69.559, step=43, avg_reward=  1.540, worst=  0.430,  z-Pos=11.350400733450869, z-Vel=3.1973371340353456, z-target=10.0)
Episode =  222, score= 63.550 (best= 69.559, step=42, avg_reward=  1.513, worst=  0.430,  z-Pos=11.377841615552164, z-Vel=3.153410025291357, z-target=10.0)
Episode =  223, score= 58.110 (best= 69.559, step=44, avg_reward=  1.321, worst=  0.430,  z-Pos=11.367309473598885, z-Vel=3.3012088187157045, z-target=10.0)
Episode =  224, score= 55.888 (best= 69.559, step=38, avg_reward=  1.471, worst=  0.430,  z-Pos=11.333055164010318, z-Vel=2.917577338853921, z-target=10.0)
Episode =  225, score= 48.237 (best= 69.559, step=34, avg_reward=  1.419, worst=  0.430,  z-Pos=11.370907118120797, z-Vel=2.8875779039821095, z-target=10.0)
Episode =  226, score= 60.687 (best= 69.559, step=40, avg_reward=  1.517, worst=  0.430,  z-Pos=11.354618457381369, z-Vel=3.1715025450668386, z-target=10.0)
Episode =  227, score= 52.767 (best= 69.559, step=54, avg_reward=  0.977, worst=  0.430,  z-Pos=11.377929633577821, z-Vel=3.757492148704819, z-target=10.0)
Episode =  228, score= 59.336 (best= 69.559, step=39, avg_reward=  1.521, worst=  0.430,  z-Pos=11.345112077250551, z-Vel=3.2024978396648875, z-target=10.0)
Episode =  229, score= 60.601 (best= 69.559, step=41, avg_reward=  1.478, worst=  0.430,  z-Pos=11.366363396378825, z-Vel=3.228205009945479, z-target=10.0)
Episode =  230, score= 58.322 (best= 69.559, step=39, avg_reward=  1.495, worst=  0.430,  z-Pos=11.330919129591383, z-Vel=3.0137536541380374, z-target=10.0)
Episode =  231, score= 62.042 (best= 69.559, step=41, avg_reward=  1.513, worst=  0.430,  z-Pos=11.34430928040811, z-Vel=3.089391515113056, z-target=10.0)
Episode =  232, score= 52.883 (best= 69.559, step=37, avg_reward=  1.429, worst=  0.430,  z-Pos=11.356901910341797, z-Vel=2.8028850567229635, z-target=10.0)
Episode =  233, score= 59.083 (best= 69.559, step=46, avg_reward=  1.284, worst=  0.430,  z-Pos=11.326346754267423, z-Vel=3.2648374520055046, z-target=10.0)
Episode =  234, score= 54.419 (best= 69.559, step=43, avg_reward=  1.266, worst=  0.430,  z-Pos=11.372987702770471, z-Vel=3.3692286033582883, z-target=10.0)
Episode =  235, score= 63.647 (best= 69.559, step=42, avg_reward=  1.515, worst=  0.430,  z-Pos=11.34231873599513, z-Vel=3.068316117557527, z-target=10.0)
Episode =  236, score= 42.680 (best= 69.559, step=31, avg_reward=  1.377, worst=  0.430,  z-Pos=11.325152828747456, z-Vel=2.6122619431962084, z-target=10.0)
Episode =  237, score= 47.035 (best= 69.559, step=34, avg_reward=  1.383, worst=  0.430,  z-Pos=11.35170557896129, z-Vel=2.639403598511307, z-target=10.0)
Episode =  238, score= 51.602 (best= 69.559, step=43, avg_reward=  1.200, worst=  0.430,  z-Pos=11.357535009824403, z-Vel=3.487141729908489, z-target=10.0)
Episode =  239, score= 48.092 (best= 69.559, step=34, avg_reward=  1.414, worst=  0.430,  z-Pos=11.323142428192014, z-Vel=2.7101275428912355, z-target=10.0)
Episode =  240, score= 54.555 (best= 69.559, step=37, avg_reward=  1.474, worst=  0.430,  z-Pos=11.356838246260931, z-Vel=3.0413993688628085, z-target=10.0)
Episode =  241, score= 56.282 (best= 69.559, step=47, avg_reward=  1.197, worst=  0.430,  z-Pos=11.371642414631893, z-Vel=3.39673886472028, z-target=10.0)
Episode =  242, score= 52.638 (best= 69.559, step=48, avg_reward=  1.097, worst=  0.430,  z-Pos=11.342431542791354, z-Vel=3.5831243908571384, z-target=10.0)
Episode =  243, score= 39.515 (best= 69.559, step=30, avg_reward=  1.317, worst=  0.430,  z-Pos=11.346125153477649, z-Vel=2.3956612664561425, z-target=10.0)
Episode =  244, score= 55.554 (best= 69.559, step=37, avg_reward=  1.501, worst=  0.430,  z-Pos=11.324151301432693, z-Vel=3.094574162728693, z-target=10.0)
Episode =  245, score= 55.411 (best= 69.559, step=38, avg_reward=  1.458, worst=  0.430,  z-Pos=11.365893864270276, z-Vel=2.9484569007421566, z-target=10.0)
Episode =  246, score= 64.320 (best= 69.559, step=42, avg_reward=  1.531, worst=  0.430,  z-Pos=11.322557228513995, z-Vel=3.0994956344156583, z-target=10.0)
Episode =  247, score= 52.279 (best= 69.559, step=46, avg_reward=  1.136, worst=  0.430,  z-Pos=11.380345114409891, z-Vel=3.5442428629159224, z-target=10.0)
Episode =  248, score= 51.027 (best= 69.559, step=45, avg_reward=  1.134, worst=  0.430,  z-Pos=11.324702562157519, z-Vel=3.5471061474464385, z-target=10.0)
Episode =  249, score= 58.148 (best= 69.559, step=39, avg_reward=  1.491, worst=  0.430,  z-Pos=11.345899631032491, z-Vel=3.03326462043121, z-target=10.0)
Episode =  250, score= 57.966 (best= 69.559, step=44, avg_reward=  1.317, worst=  0.430,  z-Pos=11.379352925284811, z-Vel=3.315617851330113, z-target=10.0)
Episode =  251, score= 57.216 (best= 69.559, step=41, avg_reward=  1.396, worst=  0.430,  z-Pos=11.330203966958114, z-Vel=3.222629584506943, z-target=10.0)
Episode =  252, score= 55.477 (best= 69.559, step=46, avg_reward=  1.206, worst=  0.430,  z-Pos=11.380261649816413, z-Vel=3.407928181349402, z-target=10.0)
Episode =  253, score= 50.176 (best= 69.559, step=35, avg_reward=  1.434, worst=  0.430,  z-Pos=11.371588738937803, z-Vel=2.934256895119421, z-target=10.0)
Episode =  254, score= 50.605 (best= 69.559, step=41, avg_reward=  1.234, worst=  0.430,  z-Pos=11.32514065108692, z-Vel=3.4052182838778893, z-target=10.0)
Episode =  255, score= 52.688 (best= 69.559, step=45, avg_reward=  1.171, worst=  0.430,  z-Pos=11.378352457038801, z-Vel=3.522915922269397, z-target=10.0)
Episode =  256, score= 48.971 (best= 69.559, step=49, avg_reward=  0.999, worst=  0.430,  z-Pos=11.35132925077189, z-Vel=3.7799054231207516, z-target=10.0)
Episode =  257, score= 59.060 (best= 69.559, step=39, avg_reward=  1.514, worst=  0.430,  z-Pos=11.36334130199388, z-Vel=3.2159545147009165, z-target=10.0)
Episode =  258, score= 53.433 (best= 69.559, step=41, avg_reward=  1.303, worst=  0.430,  z-Pos=11.330709359811147, z-Vel=3.302300420351124, z-target=10.0)
Episode =  259, score= 50.078 (best= 69.559, step=35, avg_reward=  1.431, worst=  0.430,  z-Pos=11.358061114442014, z-Vel=2.8761437994531236, z-target=10.0)
Episode =  260, score= 57.645 (best= 69.559, step=42, avg_reward=  1.373, worst=  0.430,  z-Pos=11.360298695039639, z-Vel=3.26913818922106, z-target=10.0)
Episode =  261, score= 58.920 (best= 69.559, step=44, avg_reward=  1.339, worst=  0.430,  z-Pos=11.378677661509752, z-Vel=3.2933559663245298, z-target=10.0)
Episode =  262, score= 60.798 (best= 69.559, step=40, avg_reward=  1.520, worst=  0.430,  z-Pos=11.333888449773427, z-Vel=3.126829669891857, z-target=10.0)
Episode =  263, score= 55.874 (best= 69.559, step=41, avg_reward=  1.363, worst=  0.430,  z-Pos=11.365276218867578, z-Vel=3.2841082812195608, z-target=10.0)
Episode =  264, score= 57.214 (best= 69.559, step=47, avg_reward=  1.217, worst=  0.430,  z-Pos=11.378040256236154, z-Vel=3.3950925700941474, z-target=10.0)
Episode =  265, score= 50.267 (best= 69.559, step=48, avg_reward=  1.047, worst=  0.430,  z-Pos=11.330575267707845, z-Vel=3.6612087045460657, z-target=10.0)
Episode =  266, score= 53.912 (best= 69.559, step=50, avg_reward=  1.078, worst=  0.430,  z-Pos=11.342205701766986, z-Vel=3.5744444411276466, z-target=10.0)
Episode =  267, score= 49.919 (best= 69.559, step=34, avg_reward=  1.468, worst=  0.430,  z-Pos=11.316684719426247, z-Vel=2.9914811838799373, z-target=10.0)
Episode =  268, score= 58.141 (best= 69.559, step=39, avg_reward=  1.491, worst=  0.430,  z-Pos=11.36208146334643, z-Vel=3.079712447181752, z-target=10.0)
Episode =  269, score= 58.513 (best= 69.559, step=43, avg_reward=  1.361, worst=  0.430,  z-Pos=11.346390675589303, z-Vel=3.2398140383163807, z-target=10.0)
Episode =  270, score= 59.734 (best= 69.559, step=43, avg_reward=  1.389, worst=  0.430,  z-Pos=11.323023955498586, z-Vel=3.196198427214769, z-target=10.0)
Episode =  271, score= 62.564 (best= 69.559, step=41, avg_reward=  1.526, worst=  0.430,  z-Pos=11.338459819477363, z-Vel=3.142547986385712, z-target=10.0)
Episode =  272, score= 51.430 (best= 69.559, step=46, avg_reward=  1.118, worst=  0.430,  z-Pos=11.350336383003697, z-Vel=3.5648769256225803, z-target=10.0)
Episode =  273, score= 52.954 (best= 69.559, step=46, avg_reward=  1.151, worst=  0.430,  z-Pos=11.32403285670193, z-Vel=3.445454013086249, z-target=10.0)
Episode =  274, score= 57.026 (best= 69.559, step=39, avg_reward=  1.462, worst=  0.430,  z-Pos=11.34519750033363, z-Vel=2.8811970605170485, z-target=10.0)
Episode =  275, score= 53.303 (best= 69.559, step=36, avg_reward=  1.481, worst=  0.430,  z-Pos=11.339579886691723, z-Vel=3.059517700384515, z-target=10.0)
Episode =  276, score= 47.035 (best= 69.559, step=33, avg_reward=  1.425, worst=  0.430,  z-Pos=11.320518903639645, z-Vel=2.7949640903058426, z-target=10.0)
Episode =  277, score= 53.990 (best= 69.559, step=46, avg_reward=  1.174, worst=  0.430,  z-Pos=11.327436695955033, z-Vel=3.4137752125717893, z-target=10.0)
Episode =  278, score= 51.843 (best= 69.559, step=37, avg_reward=  1.401, worst=  0.430,  z-Pos=11.359227312857282, z-Vel=2.6720894491239617, z-target=10.0)
Episode =  279, score= 52.840 (best= 69.559, step=43, avg_reward=  1.229, worst=  0.430,  z-Pos=11.338546044587245, z-Vel=3.3853809817447202, z-target=10.0)
Episode =  280, score= 57.569 (best= 69.559, step=39, avg_reward=  1.476, worst=  0.430,  z-Pos=11.319884081185865, z-Vel=2.8798194745381465, z-target=10.0)
Episode =  281, score= 51.416 (best= 69.559, step=36, avg_reward=  1.428, worst=  0.430,  z-Pos=11.355486041069623, z-Vel=2.8220439142653446, z-target=10.0)
Episode =  282, score= 57.267 (best= 69.559, step=41, avg_reward=  1.397, worst=  0.430,  z-Pos=11.328104589542262, z-Vel=3.2268026616747942, z-target=10.0)
Episode =  283, score= 59.574 (best= 69.559, step=40, avg_reward=  1.489, worst=  0.430,  z-Pos=11.341412551930285, z-Vel=2.98293125960389, z-target=10.0)
Episode =  284, score= 56.555 (best= 69.559, step=42, avg_reward=  1.347, worst=  0.430,  z-Pos=11.371824594715003, z-Vel=3.2973250577925906, z-target=10.0)
Episode =  285, score= 64.395 (best= 69.559, step=42, avg_reward=  1.533, worst=  0.430,  z-Pos=11.329630067337224, z-Vel=3.1287940550581608, z-target=10.0)
Episode =  286, score= 50.254 (best= 69.559, step=43, avg_reward=  1.169, worst=  0.430,  z-Pos=11.383125005272525, z-Vel=3.5835065650167963, z-target=10.0)
Episode =  287, score= 58.688 (best= 69.559, step=45, avg_reward=  1.304, worst=  0.430,  z-Pos=11.377718061986336, z-Vel=3.297980212530689, z-target=10.0)
Episode =  288, score= 51.069 (best= 69.559, step=45, avg_reward=  1.135, worst=  0.430,  z-Pos=11.324178208137363, z-Vel=3.534081930734451, z-target=10.0)
Episode =  289, score= 60.609 (best= 69.559, step=40, avg_reward=  1.515, worst=  0.430,  z-Pos=11.374817899099645, z-Vel=3.2193503540846344, z-target=10.0)
Episode =  290, score= 50.816 (best= 69.559, step=51, avg_reward=  0.996, worst=  0.430,  z-Pos=11.375768211281649, z-Vel=3.7994457897830785, z-target=10.0)
Episode =  291, score= 54.028 (best= 69.559, step=37, avg_reward=  1.460, worst=  0.430,  z-Pos=11.341162442378947, z-Vel=2.9161080626440317, z-target=10.0)
Episode =  292, score= 54.449 (best= 69.559, step=46, avg_reward=  1.184, worst=  0.430,  z-Pos=11.379905356041666, z-Vel=3.450616013561469, z-target=10.0)
Episode =  293, score= 63.019 (best= 69.559, step=42, avg_reward=  1.500, worst=  0.430,  z-Pos=11.374392350179882, z-Vel=3.0781873034009792, z-target=10.0)
Episode =  294, score= 61.272 (best= 69.559, step=40, avg_reward=  1.532, worst=  0.430,  z-Pos=11.321433199181076, z-Vel=3.158068051210563, z-target=10.0)
Episode =  295, score= 39.102 (best= 69.559, step=30, avg_reward=  1.303, worst=  0.430,  z-Pos=11.359795537285388, z-Vel=2.3712125383555476, z-target=10.0)
Episode =  296, score= 54.530 (best= 69.559, step=41, avg_reward=  1.330, worst=  0.430,  z-Pos=11.31707817835048, z-Vel=3.259393808387831, z-target=10.0)
Episode =  297, score= 53.287 (best= 69.559, step=38, avg_reward=  1.402, worst=  0.430,  z-Pos=11.346541656486083, z-Vel=2.6195616656944716, z-target=10.0)
Episode =  298, score= 59.100 (best= 69.559, step=43, avg_reward=  1.374, worst=  0.430,  z-Pos=11.37830328981218, z-Vel=3.2700326226717715, z-target=10.0)
Episode =  299, score= 52.675 (best= 69.559, step=48, avg_reward=  1.097, worst=  0.430,  z-Pos=11.342948460580077, z-Vel=3.5742620130007765, z-target=10.0)
Episode =  300, score= 54.037 (best= 69.559, step=38, avg_reward=  1.422, worst=  0.430,  z-Pos=11.35388737028878, z-Vel=2.7332389050482044, z-target=10.0)
Episode =  301, score= 55.367 (best= 69.559, step=38, avg_reward=  1.457, worst=  0.430,  z-Pos=11.360210841995038, z-Vel=2.925793387702999, z-target=10.0)
Episode =  302, score= 52.214 (best= 69.559, step=36, avg_reward=  1.450, worst=  0.430,  z-Pos=11.357844188435596, z-Vel=2.947098919462943, z-target=10.0)
Episode =  303, score= 62.934 (best= 69.559, step=44, avg_reward=  1.430, worst=  0.430,  z-Pos=11.362390324088034, z-Vel=3.224950721207782, z-target=10.0)
Episode =  304, score= 54.823 (best= 69.559, step=45, avg_reward=  1.218, worst=  0.430,  z-Pos=11.37588404013045, z-Vel=3.4063394706365515, z-target=10.0)
Episode =  305, score= 56.557 (best= 69.559, step=46, avg_reward=  1.230, worst=  0.430,  z-Pos=11.373564221000903, z-Vel=3.3674362483148177, z-target=10.0)
Episode =  306, score= 52.056 (best= 69.559, step=45, avg_reward=  1.157, worst=  0.430,  z-Pos=11.338729902648383, z-Vel=3.500196839559408, z-target=10.0)
Episode =  307, score= 53.342 (best= 69.559, step=42, avg_reward=  1.270, worst=  0.430,  z-Pos=11.317924993372563, z-Vel=3.3217760981781637, z-target=10.0)
Episode =  308, score= 59.214 (best= 69.559, step=43, avg_reward=  1.377, worst=  0.430,  z-Pos=11.367160155746554, z-Vel=3.2514240022401566, z-target=10.0)
Episode =  309, score= 58.083 (best= 69.559, step=44, avg_reward=  1.320, worst=  0.430,  z-Pos=11.368698370412437, z-Vel=3.2985253794184937, z-target=10.0)
Episode =  310, score= 58.060 (best= 69.559, step=39, avg_reward=  1.489, worst=  0.430,  z-Pos=11.348616762906278, z-Vel=3.029130279455217, z-target=10.0)
Episode =  311, score= 61.923 (best= 69.559, step=41, avg_reward=  1.510, worst=  0.430,  z-Pos=11.336436429253903, z-Vel=3.186131952103578, z-target=10.0)
Episode =  312, score= 64.021 (best= 69.559, step=42, avg_reward=  1.524, worst=  0.430,  z-Pos=11.357263326723816, z-Vel=3.156855079916405, z-target=10.0)
Episode =  313, score= 43.926 (best= 69.559, step=32, avg_reward=  1.373, worst=  0.430,  z-Pos=11.34011327642538, z-Vel=2.6071488039618673, z-target=10.0)
Episode =  314, score= 51.976 (best= 69.559, step=43, avg_reward=  1.209, worst=  0.430,  z-Pos=11.323437909215032, z-Vel=3.429574728695057, z-target=10.0)
Episode =  315, score= 50.626 (best= 69.559, step=45, avg_reward=  1.125, worst=  0.430,  z-Pos=11.364961159479607, z-Vel=3.5930095966414584, z-target=10.0)
Episode =  316, score= 43.704 (best= 69.559, step=32, avg_reward=  1.366, worst=  0.430,  z-Pos=11.318438552190063, z-Vel=2.497573319390107, z-target=10.0)
Episode =  317, score= 54.481 (best= 69.559, step=43, avg_reward=  1.267, worst=  0.430,  z-Pos=11.368354215239028, z-Vel=3.3720151184249505, z-target=10.0)
Episode =  318, score= 52.512 (best= 69.559, step=46, avg_reward=  1.142, worst=  0.430,  z-Pos=11.350753806936458, z-Vel=3.5388111735215015, z-target=10.0)
Episode =  319, score= 58.313 (best= 69.559, step=41, avg_reward=  1.422, worst=  0.430,  z-Pos=11.316702782204127, z-Vel=3.191373266056872, z-target=10.0)
Episode =  320, score= 56.584 (best= 69.559, step=44, avg_reward=  1.286, worst=  0.430,  z-Pos=11.330567124499956, z-Vel=3.284458441970737, z-target=10.0)
Episode =  321, score= 54.828 (best= 69.559, step=45, avg_reward=  1.218, worst=  0.430,  z-Pos=11.37551683603178, z-Vel=3.4022646428332592, z-target=10.0)
Episode =  322, score= 62.472 (best= 69.559, step=41, avg_reward=  1.524, worst=  0.430,  z-Pos=11.328027345083436, z-Vel=3.100531983950205, z-target=10.0)
Episode =  323, score= 57.765 (best= 69.559, step=39, avg_reward=  1.481, worst=  0.430,  z-Pos=11.368904809629534, z-Vel=3.04773517310246, z-target=10.0)
Episode =  324, score= 61.009 (best= 69.559, step=40, avg_reward=  1.525, worst=  0.430,  z-Pos=11.322488075992863, z-Vel=3.1235578514648554, z-target=10.0)
Episode =  325, score= 50.920 (best= 69.559, step=47, avg_reward=  1.083, worst=  0.430,  z-Pos=11.347959511027202, z-Vel=3.601564317027393, z-target=10.0)
Episode =  326, score= 50.878 (best= 69.559, step=40, avg_reward=  1.272, worst=  0.430,  z-Pos=11.3275601810499, z-Vel=3.3889223404414412, z-target=10.0)
Episode =  327, score= 50.030 (best= 69.559, step=36, avg_reward=  1.390, worst=  0.430,  z-Pos=11.35525299413003, z-Vel=2.6290728777870105, z-target=10.0)
Episode =  328, score= 55.469 (best= 69.559, step=43, avg_reward=  1.290, worst=  0.430,  z-Pos=11.364252470164597, z-Vel=3.325778051167878, z-target=10.0)
Episode =  329, score= 62.244 (best= 69.559, step=43, avg_reward=  1.448, worst=  0.430,  z-Pos=11.354960346414511, z-Vel=3.212252228177961, z-target=10.0)
Episode =  330, score= 59.918 (best= 69.559, step=40, avg_reward=  1.498, worst=  0.430,  z-Pos=11.343851902313322, z-Vel=3.0350810397575922, z-target=10.0)
Episode =  331, score= 52.417 (best= 69.559, step=47, avg_reward=  1.115, worst=  0.430,  z-Pos=11.316752094492953, z-Vel=3.5202419012439083, z-target=10.0)
Episode =  332, score= 51.742 (best= 69.559, step=50, avg_reward=  1.035, worst=  0.430,  z-Pos=11.319029476751263, z-Vel=3.6140960625885223, z-target=10.0)
